id;placed_date;status;code
1;2019-12-26T10:31:10;PENDING;EXE payment
2;2019-12-26T21:23:21;PENDING;Data North Dakota
3;2019-12-26T15:59:01;PENDING;Web revolutionize Branding
4;2019-12-26T03:34:17;COMPLETED;Fantastic
5;2019-12-27T00:51:44;CANCELLED;Handcrafted Plastic Shirt quantifying
6;2019-12-27T00:44:28;COMPLETED;Rupiah Personal Loan Account HTTP
7;2019-12-26T07:39:29;COMPLETED;quantify multi-byte
8;2019-12-26T01:31:40;PENDING;Infrastructure SSL bandwidth
9;2019-12-26T07:16:44;PENDING;navigating encoding
10;2019-12-26T03:48:26;COMPLETED;Internal Fantastic time-frame
