id;tracking_code;date;details
1;frictionless orchid;2023-03-25T09:41:02;robust
2;Granite Rubber;2023-03-25T19:56:59;Metal deposit
3;Rupiah;2023-03-25T13:42:56;RSS Buckinghamshire Officer
4;teal Licensed Wooden Pants;2023-03-25T16:54:33;Chair Awesome
5;Kiribati;2023-03-25T15:03:06;Regional
6;Bedfordshire;2023-03-25T07:01:34;Ergonomic Soft Shoes
7;Bulgarian Lev Cambridgeshire;2023-03-25T19:49:40;streamline Home SAS
8;quantify;2023-03-25T19:10:01;sky blue cultivate Bedfordshire
9;navigate Kiribati;2023-03-25T06:18:11;Small Wooden Ball Metal Bond Markets Units European Composite Unit (EURCO)
10;Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;2023-03-25T12:51:27;Hungary Configurable
